"";"RMSE_GLM";"RMSE_GAM";"RMSE_RF";"RMSE_GBM";"RMSE_ANN";"RMS_BestMod"
"1";6,36;6,17811521815847;5,88;5,88;0;0
"2";6,18;6,04466760560017;5,44;5,67;0;0
"3";6,09;6,06671147469436;5,61;5,7;0;0
"4";6,11;5,91621436841191;5,76;5,79;0;0
"5";6,3;6,11832674155887;5,55;5,43;0;0
"6";5,95;5,84028508523594;5,52;5,59;0;0
"7";6,17;6,0581122488158;5,72;5,93;0;0
"8";6,34;6,26232551388299;5,76;6,06;0;0
"9";6,29;6,0845405796834;5,27;5,79;0;0
"10";6,5;6,36771393873332;5,69;5,71;0;0
"11";6,06;5,96775235943573;5,69;5,62;0;0
"12";6,19;6,11411522653114;5,63;5,78;0;0
"13";6,33;6,19358533004759;5,66;5,56;0;0
"14";6,3;6,25522057044997;5,64;5,81;0;0
"15";6,04;5,92452241124469;5,71;5,46;0;0
"16";6,1;6,01487573551119;5,91;5,87;0;0
"17";6,04;5,98404808815174;5,66;5,98;0;0
"18";5,88;5,86782261581068;5,65;5,45;0;0
"19";6,07;5,89315734209621;5,7;5,66;0;0
"20";6,09;5,99951620509436;5,64;5,84;0;0
"21";6,09;6,00743627014782;5,63;5,39;0;0
"22";6,21;6,10560445890388;5,55;5,69;0;0
"23";6,17;5,95053529612349;5,66;5,67;0;0
"24";6,01;5,92525784898177;5,64;5,71;0;0
"25";6,18;6,03322987419853;5,96;5,62;0;0
"26";6,14;6,02130232571326;5,51;5,84;0;0
"27";5,98;5,92593789929284;5,72;5,71;0;0
"28";6,26;6,13602432831454;5,48;5,35;0;0
"29";6,22;6,12070613544997;5,7;5,27;0;0
"30";6,23;6,20930190730378;5,61;5,47;0;0
