annee;site;ue;profondeur ;bloc;espacement;traitement;Csolentier ;MAOM;POM
2021;PlantUL;101;0-10 cm;1;30 po;Ray-grass;9.38;8.27;1.11
2021;PlantUL;102;0-10 cm;1;30 po;Temoin;9.28;8.54;0.74
2021;PlantUL;103;0-10 cm;1;30 po;Melange 6CC ;9.87;8.31;1.56
2021;PlantUL;104;0-10 cm;1;60 po;Temoin;10.8;10.17;0.63
2021;PlantUL;105;0-10 cm;1;60 po;Ray-grass;12;11.69;0.31
2021;PlantUL;106;0-10 cm;1;60 po;Melange 6CC ;12.5;11.5;1
2021;PlantUL;201;0-10 cm;2;30 po;Melange 6CC ;9.23;8.51;0.72
2021;PlantUL;202;0-10 cm;2;30 po;Temoin;8.71;8.26;0.45
2021;PlantUL;203;0-10 cm;2;30 po;Ray-grass;9.26;8.18;1.08
2021;PlantUL;204;0-10 cm;2;60 po;Ray-grass;9.79;9.14;0.65
2021;PlantUL;205;0-10 cm;2;60 po;Temoin;10.8;9.44;1.36
2021;PlantUL;206;0-10 cm;2;60 po;Melange 6CC ;11.2;9.56;1.64
2021;PlantUL;301;0-10 cm;3;30 po;Temoin;12.3;11.28;1.02
2021;PlantUL;302;0-10 cm;3;30 po;Melange 6CC ;11.6;10.93;0.67
2021;PlantUL;303;0-10 cm;3;30 po;Ray-grass;12.1;11.26;0.84
2021;PlantUL;304;0-10 cm;3;60 po;Temoin;12.7;11.63;1.07
2021;PlantUL;305;0-10 cm;3;60 po;Melange 6CC ;13;11.71;1.29
2021;PlantUL;306;0-10 cm;3;60 po;Ray-grass;12.7;11;1.7
2021;PlantUL;401;0-10 cm;4;30 po;Melange 6CC ;13.3;11.54;1.76
2021;PlantUL;402;0-10 cm;4;30 po;Temoin;13;11.84;1.16
2021;PlantUL;403;0-10 cm;4;30 po;Ray-grass;12.6;11.86;0.74
2021;PlantUL;404;0-10 cm;4;60 po;Ray-grass;13.8;12.28;1.52
2021;PlantUL;405;0-10 cm;4;60 po;Temoin;14.3;13.2;1.1
2021;PlantUL;406;0-10 cm;4;60 po;Melange 6CC ;14;12.99;1.01
2021;Gervais;101;0-10 cm;1;30 po;Temoin;14;13.21;0.79
2021;Gervais;102;0-10 cm;1;30 po;Melange 6CC ;14.3;13.3;1
2021;Gervais;103;0-10 cm;1;30 po;Ray-grass;16.4;14.52;1.88
2021;Gervais;104;0-10 cm;1;60 po;Melange 6CC ;18.4;16.96;1.44
2021;Gervais;105;0-10 cm;1;60 po;Ray-grass;20;18.72;1.28
2021;Gervais;106;0-10 cm;1;60 po;Temoin;21.7;18.9;2.8
2021;Gervais;201;0-10 cm;2;30 po;Temoin;14.5;12.72;1.78
2021;Gervais;202;0-10 cm;2;30 po;Ray-grass;15.3;14.21;1.09
2021;Gervais;203;0-10 cm;2;30 po;Melange 6CC ;15.7;14.5;1.21
2021;Gervais;204;0-10 cm;2;60 po;Temoin;16.7;15.02;1.69
2021;Gervais;205;0-10 cm;2;60 po;Ray-grass;17.2;14.76;2.44
2021;Gervais;206;0-10 cm;2;60 po;Melange 6CC ;17.6;15.32;2.28
2021;Gervais;301;0-10 cm;3;30 po;Ray-grass;17.1;14.31;2.79
2021;Gervais;302;0-10 cm;3;30 po;Temoin;16.3;15.3;1
2021;Gervais;303;0-10 cm;3;30 po;Melange 6CC ;17;15.76;1.24
2021;Gervais;304;0-10 cm;3;60 po;Ray-grass;15.5;14.08;1.42
2021;Gervais;305;0-10 cm;3;60 po;Melange 6CC ;13.7;12.76;0.94
2021;Gervais;306;0-10 cm;3;60 po;Temoin;12;11.26;0.74
2021;Gervais;401;0-10 cm;4;30 po;Melange 6CC ;14.3;13.28;1.02
2021;Gervais;402;0-10 cm;4;30 po;Ray-grass;15;13.39;1.61
2021;Gervais;403;0-10 cm;4;30 po;Temoin;16.6;14.69;1.91
2021;Gervais;404;0-10 cm;4;60 po;Melange 6CC ;17.1;15.41;1.69
2021;Gervais;405;0-10 cm;4;60 po;Temoin;15.6;13.66;1.94
2021;Gervais;406;0-10 cm;4;60 po;Ray-grass;12.5;11.69;0.81
