"var_rep";"RMSE";"R_adj_train";"R_adj_test";"RMSE.1";"delet";"interation"
"AB_tot";5,33;0,36;0,35;5,33;"bio2";1
"AB_tot";5,33;0,37;0,35;5,33;"bio10";2
"AB_tot";5,32;0,37;0,35;5,32;"bio5";3
"AB_tot";5,32;0,36;0,35;5,32;"bio1";4
"AB_tot";5,32;0,37;0,36;5,32;"bio11";5
"AB_tot";5,32;0,37;0,36;5,32;"C";6
"AB_tot";5,33;0,37;0,36;5,33;"bio6";7
"AB_tot";5,32;0,37;0,36;5,32;"bio8";8
"AB_tot";5,34;0,37;0,36;5,34;"bio13";9
"AB_tot";5,34;0,37;0,36;5,34;"bio9";10
"AB_tot";5,31;0,37;0,36;5,31;"bio14";11
"AB_tot";5,33;0,37;0,36;5,33;"bio16";12
"AB_tot";5,34;0,37;0,36;5,34;"elevation";13
"AB_tot";5,34;0,37;0,36;5,34;"pH";14
"AB_tot";5,36;0,37;0,36;5,36;"bio12";15
"AB_tot";5,34;0,37;0,36;5,34;"bio19";16
"AB_tot";5,35;0,37;0,36;5,35;"gdd10";17
"AB_tot";5,36;0,37;0,36;5,36;"cmi_mean";18
"AB_tot";5,36;0,37;0,36;5,36;"sand";19
"AB_tot";5,36;0,37;0,36;5,36;"bio7";20
"AB_tot";5,35;0,37;0,37;5,35;"bio17";21
"AB_tot";5,35;0,37;0,37;5,35;"K";22
"AB_tot";5,35;0,38;0,37;5,35;"hurs_mean";23
"AB_tot";5,34;0,38;0,37;5,34;"CEC";24
"AB_tot";5,34;0,37;0,37;5,34;"bio15";25
"AB_tot";5,35;0,38;0,37;5,35;"bio3";26
"AB_tot";5,34;0,38;0,37;5,34;"PET";27
"AB_tot";5,33;0,37;0,38;5,33;"silt";28
"AB_tot";5,32;0,37;0,38;5,32;"CN";29
"AB_tot";5,32;0,37;0,38;5,32;"P";30
"AB_tot";5,33;0,37;0,38;5,33;"clay";31
"AB_tot";5,35;0,37;0,38;5,35;"gdd0";32
"AB_tot";5,32;0,37;0,39;5,32;"N";33
"AB_tot";5,38;0,37;0,37;5,38;"bio4";34
"AB_tot";5,33;0,38;0,38;5,33;"clcm_lvl3";35
"AB_tot";5,33;0,38;0,38;5,33;"clcm_lvl3";36
"AB_tot";5,33;0,38;0,38;5,33;"clcm_lvl3";37
"AB_tot";5,33;0,38;0,38;5,33;"clcm_lvl3";38
